date,S,vix,r,sentiment
2019-10-04,96.2115249633789,17.040000915527344,1.52,
2019-10-07,96.00167083740234,17.860000610351562,1.56,
2019-10-08,93.86122131347656,20.280000686645508,1.54,
2019-10-09,94.5411148071289,18.639999389648438,1.59,
2019-10-10,95.86738586425781,17.56999969482422,1.67,
2019-10-11,97.48741912841797,15.579999923706055,1.76,
2019-10-14,97.74762725830078,14.569999694824219,,
2019-10-15,100.69390869140625,13.539999961853027,1.77,
2019-10-16,100.45887756347656,13.680000305175781,1.75,
2019-10-17,101.0212631225586,13.789999961853027,1.76,
2019-10-18,101.19754791259766,14.25,1.76,
2019-10-21,103.70732879638672,14.0,1.8,
2019-10-22,104.74816131591797,14.460000038146973,1.78,
2019-10-23,105.02517700195312,14.010000228881836,1.77,
2019-10-24,104.94964599609375,13.710000038146973,1.77,
2019-10-25,105.78902435302734,12.649999618530273,1.8,
2019-10-28,106.19193267822266,13.109999656677246,1.85,
2019-10-29,106.12478637695312,13.199999809265137,1.84,
2019-10-30,105.53722381591797,12.329999923706055,1.78,
2019-10-31,104.85730743408203,13.220000267028809,1.69,
2019-11-01,107.27476501464844,12.300000190734863,1.73,
2019-11-04,108.13093566894531,12.829999923706055,1.79,
2019-11-05,108.3659896850586,13.100000381469727,1.86,
2019-11-06,108.53385162353516,12.619999885559082,1.81,
2019-11-07,109.12144470214844,12.729999542236328,1.92,
2019-11-08,109.44041442871094,12.069999694824219,1.94,
